iter	Logloss
161	0.1959310696
162	0.1958478615
163	0.1956353272
164	0.1954801936
165	0.1953475652
166	0.1952521712
167	0.1951862325
168	0.1951455038
169	0.1950790497
170	0.1949334865
171	0.194815416
172	0.1947074669
173	0.194580224
174	0.1944255341
175	0.1942960589
176	0.1941599218
177	0.1940888169
178	0.1940132701
179	0.193958726
180	0.1938369823
181	0.1937076633
182	0.1935068627
183	0.1933931322
184	0.193315589
185	0.1932253929
186	0.193171378
187	0.1930228427
188	0.1929802898
189	0.1929337778
190	0.1927844444
191	0.1927264339
192	0.1926218056
193	0.1924586588
194	0.1923723132
195	0.192250292
196	0.1921753587
197	0.1920726082
198	0.1920085481
199	0.1918898836
200	0.191823831
201	0.1917578538
202	0.1915272904
203	0.1913868195
204	0.1912764656
205	0.1911888885
206	0.1910944638
207	0.1909601137
208	0.1906706213
209	0.1905301368
210	0.1904553418
211	0.1903218292
212	0.190266908
213	0.1901346497
214	0.1900922568
215	0.1899504986
216	0.1897849745
217	0.1896862388
218	0.189624092
219	0.1895436775
220	0.1894316157
221	0.1893571094
222	0.1892618752
223	0.1891586915
224	0.1890392638
225	0.1889804668
226	0.1888922566
227	0.1887677502
228	0.1886597589
229	0.1885813681
230	0.1885132597
231	0.1883873927
232	0.1882275929
233	0.1880983141
234	0.1879730969
235	0.1879400854
236	0.1877766658
237	0.1876961495
238	0.1876007631
239	0.1874702417
240	0.1873777181
241	0.1872487163
242	0.1871018467
243	0.1870337615
244	0.186829685
245	0.1867155437
246	0.1865889203
247	0.1865042153
248	0.1862965905
249	0.1862264392
250	0.186132219
251	0.1860630835
252	0.1859436287
253	0.1858623786
254	0.1857612783
255	0.1856771046
256	0.1855882478
257	0.1854508568
258	0.1853977387
259	0.1853216142
260	0.1851576463
261	0.1850593542
262	0.1849489107
263	0.1848588522
264	0.1847678796
265	0.1846537937
266	0.1845939125
267	0.1844322533
268	0.1842960838
269	0.1842320713
270	0.1841299928
271	0.184043396
272	0.1839351927
273	0.1838223225
274	0.1837469136
275	0.183586794
276	0.1835322732
277	0.1834314114
278	0.1833561271
279	0.1833017843
280	0.1832002839
281	0.1831344339
282	0.1829880025
283	0.1829133198
284	0.1828406837
285	0.1827883523
286	0.1826631582
287	0.1825962438
288	0.1824872843
289	0.1821934292
290	0.1820857546
291	0.1819741964
292	0.1818899466
293	0.1818334904
294	0.1817368676
295	0.1816273033
296	0.1815733066
297	0.1814012412
298	0.1813166684
299	0.1812037477
300	0.1811283708
301	0.1809959359
302	0.1809053297
303	0.180825739
304	0.1807649662
305	0.1805876024
306	0.1805256199
307	0.1804313034
308	0.1803482371
309	0.1802669023
310	0.18008703
311	0.1800319611
312	0.1799687675
313	0.1798936346
314	0.1798376448
315	0.1797311689
316	0.1796484066
317	0.1795587646
318	0.1794555202
319	0.1792095344
320	0.1790495313
321	0.1789717866
322	0.1789276846
323	0.1788320988
324	0.1787597023
325	0.1787078772
326	0.1785973638
327	0.1785393326
328	0.1784629074
329	0.1783739532
330	0.1782926129
331	0.1782397059
332	0.178190951
333	0.1781263985
334	0.1780778979
335	0.1780215022
336	0.1778770912
337	0.1777943428
338	0.1777459232
339	0.1776739953
340	0.1775983611
341	0.1775033369
342	0.1774041072
343	0.1773431821
344	0.1772508953
345	0.1771856993
346	0.1770607725
347	0.1769243193
348	0.1768789385
349	0.1768044748
350	0.1767328395
351	0.1766505574
352	0.1765149445
353	0.1764339089
354	0.1763927905
355	0.1762694886
356	0.1761853793
357	0.1761214141
358	0.1760301391
359	0.1759017445
360	0.1758084102
361	0.1757480077
362	0.1756834993
363	0.1756761685
364	0.1755993558
365	0.1754877503
366	0.1753723553
367	0.1752735058
368	0.1751561338
369	0.1750256761
370	0.174937414
371	0.1748898746
372	0.1748147507
373	0.174788107
374	0.1747279086
375	0.1746697159
376	0.1746075391
377	0.1745026789
378	0.1744562881
379	0.1743696058
380	0.1742946934
381	0.1742070069
382	0.1741652676
383	0.1740109301
384	0.173925232
385	0.1738454106
386	0.1737870089
387	0.1737106551
388	0.1736386465
389	0.1735807438
390	0.1734874431
391	0.1733599964
392	0.1732720867
393	0.1732026676
394	0.1731258598
395	0.1730604385
396	0.1729815313
397	0.1729225862
398	0.1728319064
399	0.1727460247
400	0.1726661658
401	0.1726304099
402	0.1725406291
403	0.1724701562
404	0.1723895677
405	0.1723086321
406	0.172245322
407	0.1721621048
408	0.1721041844
409	0.1720853211
410	0.1720477935
411	0.1719311076
412	0.1718069032
413	0.1717452731
414	0.171718877
415	0.1716347703
416	0.171549982
417	0.1715126438
418	0.1714697838
419	0.1713789115
420	0.1713307896
421	0.1712414735
422	0.171187084
423	0.1710372916
424	0.1709410392
425	0.1708773997
426	0.1707984714
427	0.1707274194
428	0.1706488507
429	0.1705881224
430	0.1705217333
431	0.1704615558
432	0.170395446
433	0.1703099036
434	0.1702501705
435	0.1701938795
436	0.1701219557
437	0.1700979111
438	0.1699941603
439	0.1699528921
440	0.1698746159
441	0.1698224013
442	0.1697770503
443	0.1697437482
444	0.1696798026
445	0.1696046056
446	0.1695471101
447	0.1694725289
448	0.1694286911
449	0.1693693806
450	0.1693322761
451	0.1692826601
452	0.1692212411
453	0.169087461
454	0.169001892
455	0.1689348796
456	0.1688683526
457	0.1687942082
458	0.1687341397
459	0.1686694185
460	0.1686057953
461	0.1685580545
462	0.1684963351
463	0.1684108515
464	0.1683575798
465	0.168324799
466	0.1682786218
467	0.1681838902
468	0.1681122571
469	0.1680840178
470	0.1680203827
471	0.1679413248
472	0.1678417327
473	0.1677653965
474	0.1677075716
475	0.1676316647
476	0.1675507682
477	0.1675004399
478	0.1674445121
479	0.1673762938
480	0.1673467118
481	0.167272737
482	0.1672193961
483	0.167180042
484	0.1670909103
485	0.1670132042
486	0.1669320152
487	0.1668676428
488	0.1668098273
489	0.1667178416
490	0.1666151597
491	0.1665477605
492	0.16652862
493	0.1664795562
494	0.1664250993
495	0.1663669512
496	0.1663070352
497	0.1662540992
498	0.1661816624
499	0.1661159987
500	0.1660545133
501	0.166004192
502	0.1659894074
503	0.165847879
504	0.1657538795
505	0.1656696481
506	0.1655692022
507	0.1654704606
508	0.1654026517
509	0.1653318101
510	0.1652323573
511	0.1651795951
512	0.1651108755
513	0.1650119169
514	0.1649493444
515	0.1648809318
516	0.1648433896
517	0.1648284915
518	0.1647952358
519	0.1647514844
520	0.1646974619
521	0.1646471794
522	0.1645533785
523	0.1644875598
524	0.1644246301
525	0.1643956535
526	0.1643590762
527	0.164318625
528	0.1642520347
529	0.1641666813
530	0.1641491955
531	0.1640560659
532	0.1640194373
533	0.1639584324
534	0.1639182954
535	0.1638691628
536	0.1638128288
537	0.1637435938
538	0.1636888369
539	0.1636311735
540	0.1635512714
541	0.1634589289
542	0.1633871344
543	0.1632947422
544	0.1632212443
545	0.1631742299
546	0.1631016656
547	0.1630110779
548	0.1629774792
549	0.1629051471
550	0.1628000541
551	0.1627368842
552	0.1627102884
553	0.1626743245
554	0.162559079
555	0.1624963499
556	0.1624111361
557	0.1623443631
558	0.1623284306
559	0.162279145
560	0.1622113797
561	0.1621609205
562	0.1620992114
563	0.16200856
564	0.1619534763
565	0.1618938196
566	0.1618715726
567	0.1618138504
568	0.1617130328
569	0.1616427827
570	0.1615910842
571	0.1615262207
572	0.1614931193
573	0.1613947864
574	0.1613668548
575	0.1613395384
576	0.1612647739
577	0.1612062703
578	0.1611110992
579	0.1610360358
580	0.1609822843
581	0.1609213611
582	0.1608874921
583	0.1608355955
584	0.1607523431
585	0.1606963534
586	0.1606110988
587	0.160559301
588	0.1604997105
589	0.1604346936
590	0.1603878145
591	0.1603566157
592	0.1603211107
593	0.1602590801
594	0.1601948418
595	0.1601134961
596	0.1600468015
597	0.1599564968
598	0.1598667276
599	0.1597908371
600	0.159720385
601	0.1596454252
602	0.15957193
603	0.1595224511
604	0.1594798121
605	0.1594457569
606	0.1593607203
607	0.159284798
608	0.1591743677
609	0.1590972188
610	0.1590328109
611	0.1590011758
612	0.1589607086
613	0.158945869
614	0.1589133591
615	0.1588760768
616	0.1588117526
617	0.1587456144
618	0.1587179004
619	0.1586410938
620	0.1585459405
621	0.1584661443
622	0.158407265
623	0.1583688604
624	0.1583218665
625	0.1582722755
626	0.1582414635
627	0.1581690966
628	0.1581012763
629	0.1580614698
630	0.1580493272
631	0.1580197408
632	0.1579346651
633	0.1578613795
634	0.1577902668
635	0.1577583292
636	0.157667503
637	0.157612072
638	0.1575564704
639	0.1574842015
640	0.1574270462
641	0.1573494258
642	0.1573173484
643	0.1572104862
644	0.1571591735
645	0.1570941815
646	0.1570435043
647	0.1570149803
648	0.1569277657
649	0.1568666903
650	0.1568055476
651	0.1567486219
652	0.1567018632
653	0.1566276421
654	0.1565571948
655	0.1564863422
656	0.1564424358
657	0.1563877474
658	0.1563498853
659	0.1563005954
660	0.1562645443
661	0.1561785256
662	0.1561322153
663	0.1560735223
664	0.1559979978
665	0.1559398085
666	0.155894245
667	0.1558383171
668	0.1557398242
669	0.1557095635
670	0.1556543607
671	0.1556095675
672	0.1555184575
673	0.1554741169
674	0.1553906609
675	0.1552679548
676	0.1552101808
677	0.1551364232
678	0.1551074007
679	0.1550559931
680	0.1550110141
681	0.1549563457
682	0.1548950911
683	0.1548425694
684	0.1547322304
685	0.1546599764
686	0.1545675869
687	0.1545084063
688	0.1544815884
689	0.1544334725
690	0.1543526265
691	0.1542787669
692	0.1542183109
693	0.1541518589
694	0.1540916772
695	0.1540165271
696	0.1539275766
697	0.1538542137
698	0.1538047941
699	0.1537498841
700	0.1536796404
701	0.1536221288
702	0.1535618473
703	0.153497992
704	0.15344986
705	0.153406434
706	0.1533667723
707	0.1533049786
708	0.1532744135
709	0.1532244886
710	0.1531399075
711	0.1530559725
712	0.1529795564
713	0.1529303428
714	0.1528775671
715	0.152816795
716	0.1527810546
717	0.1527356496
718	0.1526574375
719	0.1526521781
720	0.1526179723
721	0.1525392421
722	0.1524933461
723	0.1524287335
724	0.1523921735
725	0.1523349518
726	0.1522521057
727	0.1521948295
728	0.1521265522
729	0.1520624474
730	0.1520013778
731	0.1519379436
732	0.1518769305
733	0.1518553678
734	0.151831019
735	0.1517845844
736	0.1517771225
737	0.1516719269
738	0.1516088504
739	0.1515555388
740	0.1514604868
741	0.1514103447
742	0.151375866
743	0.1513230113
744	0.1512718128
745	0.1512041926
746	0.1511733964
747	0.1511335293
748	0.1510951243
749	0.1510502642
750	0.1510080877
751	0.1509290535
752	0.1508829466
753	0.1508494244
754	0.1508127424
755	0.1507784284
756	0.1507204381
757	0.1506613107
758	0.1506197773
759	0.1505674594
760	0.1504947431
761	0.1504357629
762	0.1503883016
763	0.1503375975
764	0.1502725591
765	0.1502295091
766	0.1502254049
767	0.1501740257
768	0.150120754
769	0.1500675984
770	0.1500637579
771	0.150004409
772	0.1499535543
773	0.149892848
774	0.1498632946
775	0.1498143531
776	0.1497598948
777	0.149685173
778	0.149624668
779	0.1495766665
780	0.149510647
781	0.1494492906
782	0.1494138061
783	0.1493633782
784	0.149320761
785	0.1492838942
786	0.1492401224
787	0.1491750193
788	0.1491307018
789	0.1490755147
790	0.1490276167
791	0.1489586122
792	0.1489269656
793	0.1488768868
794	0.1488238035
795	0.148753466
796	0.148714106
797	0.1486725479
798	0.1486506926
799	0.1486269885
800	0.1485894522
801	0.1485215449
802	0.1484801663
803	0.1484452802
804	0.1483799372
805	0.1483416009
806	0.148267724
807	0.1481893195
808	0.1481856832
809	0.1481394078
810	0.1480878691
811	0.1480733844
812	0.148020735
813	0.1479606553
814	0.1478901388
815	0.1478209714
816	0.1477864168
817	0.1477273626
818	0.1476832739
819	0.1476378926
820	0.147591418
821	0.1475662776
822	0.1474959801
823	0.1474317112
824	0.1473770182
825	0.1473078988
826	0.1472538257
827	0.147212999
828	0.1471707259
829	0.1471362509
830	0.1470875571
831	0.1470245776
832	0.1469964246
833	0.1469495136
834	0.1469141955
835	0.1468609732
836	0.1468119189
837	0.146766687
838	0.1467658309
839	0.146719543
840	0.1466794967
841	0.1466238614
842	0.1466205562
843	0.1465810836
844	0.1465361701
845	0.1464893621
846	0.1464158039
847	0.1463616762
848	0.1463024646
849	0.146279461
850	0.1462328489
851	0.1461811454
852	0.14611436
853	0.1460824181
854	0.146027013
855	0.145972532
856	0.1459073321
857	0.1458568989
858	0.1458561239
859	0.1457948884
860	0.145735751
861	0.1456871255
862	0.1456343566
863	0.1456304308
864	0.1455764564
865	0.1455289423
866	0.1454786223
867	0.1454204677
868	0.1454029038
869	0.1453562295
870	0.1453137176
871	0.1452474753
872	0.1451905679
873	0.1451469501
874	0.1451043166
875	0.1450602074
876	0.1450065761
877	0.1449320262
878	0.1449313102
879	0.144878749
880	0.1448281682
881	0.1447761266
882	0.1447240574
883	0.1446838798
884	0.1446440729
885	0.1445912509
886	0.1445441163
887	0.1444858617
888	0.1444502151
889	0.1444077573
890	0.1443631763
891	0.144332101
892	0.1443024781
893	0.1442499767
894	0.1442088517
895	0.1441525403
896	0.1441139005
897	0.1440549874
898	0.143994845
899	0.1439085458
900	0.1438967374
901	0.1438316624
902	0.143769524
903	0.1437689176
904	0.1437219062
905	0.1436786556
906	0.1436183217
907	0.143550139
908	0.1435212162
909	0.1434784279
910	0.1434252313
911	0.1433736202
912	0.1433155018
913	0.1433088864
914	0.1432808215
915	0.1432194849
916	0.1432012352
917	0.1431499162
918	0.1430980546
919	0.1430371947
920	0.1430021496
921	0.1429760132
922	0.1429369207
923	0.1428943514
924	0.1428314476
925	0.1427719199
926	0.1427296225
927	0.142699643
928	0.1426099202
929	0.1425598697
930	0.1425050656
931	0.142455689
932	0.1424045266
933	0.1423688591
934	0.1423242972
935	0.1423024614
936	0.1422588473
937	0.1421930012
938	0.1421556836
939	0.1421231331
940	0.142120392
941	0.142096616
942	0.1420625936
943	0.1420013697
944	0.1419648471
945	0.1419123351
946	0.1418706503
947	0.1418302665
948	0.1417784171
949	0.1417361782
950	0.1416666763
951	0.1416273393
952	0.1415746891
953	0.1415447001
954	0.1414677505
955	0.1414199272
956	0.1413575099
957	0.1413196791
958	0.1412697303
959	0.1412233811
960	0.1411907652
961	0.1411229525
962	0.1410883958
963	0.1410430973
964	0.1409776513
965	0.1409244861
966	0.1408618047
967	0.1408337001
968	0.1407944099
969	0.1407699033
970	0.1407278296
971	0.140676041
972	0.1406374677
973	0.1405970532
974	0.1405320158
975	0.1405241508
976	0.1404561532
977	0.1404340173
978	0.1403776842
979	0.1403141043
980	0.1403085348
981	0.1402900262
982	0.1402493336
983	0.140213003
984	0.1401782361
985	0.1401298499
986	0.1401274132
987	0.1400919827
988	0.1400707736
989	0.1400374049
990	0.1400082809
991	0.139958002
992	0.1398903103
993	0.1398453909
994	0.139791608
995	0.1397840971
996	0.1397373592
997	0.1397127657
998	0.1396554974
999	0.1395781945
